frame,num_cells,avg_area,avg_brightness
92,2644,91.40960665658093,119.44485096567297
93,2666,90.19992498124532,119.44930914853026
94,2676,88.8221225710015,119.5482068887141
95,2663,88.55125797972212,119.79050289748857
96,2675,87.69644859813084,119.35541671882736
97,2671,88.53800074878323,119.43269397333036
98,2692,88.14264487369985,119.44367237535359
99,2655,88.50546139359699,119.36806558407389
100,2678,87.39731142643764,119.33736510995297
101,2642,87.78993186979561,119.29842719715313
102,2644,88.07904689863842,119.3424635882249
103,2656,87.23719879518072,119.23212060358638
104,2650,87.82264150943396,119.35112910781389
105,2658,86.61851015801355,119.35326089755806
106,2640,86.74734848484849,119.52945082358693
107,2662,85.72915101427498,119.34819101826919
108,2686,84.79374534623976,119.35976944213068
109,2645,86.55538752362949,119.4609684184194
110,2670,85.39176029962547,119.38640497686355
111,2655,85.60414312617702,119.44663194540789
112,2651,85.21878536401358,119.4524703647535
113,2622,85.49199084668192,119.47632280732495
114,2630,84.89011406844106,119.67637729816366
115,2613,85.37964026023728,119.42896520550048
116,2606,84.67498081350729,119.39978464623616
117,2618,84.09243697478992,119.39926515840928
118,2578,84.14817688130334,119.87374793620756
119,2570,84.79377431906615,119.7461761094893
120,2585,84.20889748549322,119.41597751461046
121,2605,83.47408829174664,119.1619294203231
122,2592,83.30979938271605,119.81106020526761
123,2619,82.68079419625812,119.39258658363813
124,2625,82.43771428571428,119.3883941512656
125,2603,82.63081060315021,119.32657179116924
126,2587,82.94433706996521,119.32466257134958
127,2606,82.82310053722179,119.50363597034867
128,2596,83.17295839753467,119.99372193177638
129,2593,83.44581565753953,119.62281583574297
130,2599,83.23278183916891,119.87387812517308
131,2621,82.22014498283099,119.85715327409957
132,2607,82.76256233218258,119.88657229106705
133,2636,82.78641881638846,119.9195970891481
134,2641,81.9265429761454,119.86630949655854
135,2637,81.87599544937429,119.78928188351888
136,2611,81.68747606281119,119.80130917433694
137,2623,81.49828440716736,119.7805655734271
138,2602,81.9554189085319,119.67605855500331
139,2591,82.38440756464685,119.83887654946899
140,2616,81.60359327217125,119.6971842317746
141,2603,82.0318862850557,119.77973036982739
142,2593,81.41419205553413,119.786312737949
143,2601,81.19684736639753,119.68623926737236
144,2604,81.10599078341014,119.68146672961404
145,2620,80.91030534351145,119.75376115992383
146,2627,80.86486486486487,119.56088988900723
147,2623,81.01906214258483,119.71553714928257
148,2645,80.40869565217392,119.55207740091815
149,2631,80.68187001140251,119.16357495385829
150,2616,80.81230886850153,119.01390674239452
